study_id,bibliography_id,publication_type,bibtype,title,author,school,year,doi,url,month,publisher,volume,number,pages,journal,keywords,copyright,editor,booktitle,institution,language
Nuttle_1996,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2017,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMS_Database,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kulawardhana_et_al_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill_1999,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orson_1990,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,Cochran_et_al_1998_article,synthesis source,Article,"Atmospheric Deposition of Metals to Coastal Waters (Long Island Sound, New York U.S.A.): Evidence from Saltmarsh Deposits",J.K. Cochran and D.J. Hirschberg and J. Wang and C. Dere,NA,1998,10.1006/ecss.1997.0299,https://doi.org/10.1006/ecss.1997.0299,apr,Elsevier {BV},46,4,503--522,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Neubauer_2002,Neubauer_2002_article,synthesis source,Article,Sediment Deposition and Accretion in a Mid-Atlantic (U.S.A.) Tidal Freshwater Marsh,S.C. Neubauer and I.C. Anderson and J.A. Constantine and S.A. Kuehl,NA,2002,10.1006/ecss.2001.0854,https://doi.org/10.1006/ecss.2001.0854,apr,Elsevier {BV},54,4,713--727,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Drake_et_al_2015,Drake_et_al_2015_article,synthesis source,Article,Carbon Sequestration in Tidal Salt Marshes of the Northeast United States,Katherine Drake and Holly Halifax and Susan C. Adamowicz and Christopher Craft,NA,2015,10.1007/s00267-015-0568-z,https://doi.org/10.1007/s00267-015-0568-z,jun,Springer Science and Business Media {LLC},56,4,998--1008,Environmental Management,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,Noe_et_al_2013_article,synthesis source,Article,The effect of increasing salinity and forest mortality on soil nitrogen and phosphorus mineralization in tidal freshwater forested wetlands,Gregory B. Noe and Ken W. Krauss and B. Graeme Lockaby and William H. Conner and Cliff R. Hupp,NA,2012,10.1007/s10533-012-9805-1,https://doi.org/10.1007/s10533-012-9805-1,nov,Springer Science and Business Media {LLC},114,NA,225--244,Biogeochemistry,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,Pastore_et_al_2017_article,synthesis source,Article,Elevated {CO}2 and nitrogen addition accelerate net carbon gain in a brackish marsh,Melissa A. Pastore and J. Patrick Megonigal and J. Adam Langley,NA,2017,10.1007/s10533-017-0312-2,https://doi.org/10.1007/s10533-017-0312-2,mar,Springer Science and Business Media {LLC},133,1,73--87,Biogeochemistry,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,Radabaugh_et_al_2018_article,synthesis source,Article,"Coastal Blue Carbon Assessment of Mangroves, Salt Marshes, and Salt Barrens in Tampa Bay, Florida, {USA}",Kara R. Radabaugh and Ryan P. Moyer and Amanda R. Chappel and Christina E. Powell and Ioana Bociu and Barbara C. Clark and Joseph M. Smoak,NA,2017,10.1007/s12237-017-0362-7,https://doi.org/10.1007/s12237-017-0362-7,dec,Springer Science and Business Media {LLC},41,5,1496--1510,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,Elsey_Quirk_et_al_2011_article,synthesis source,Article,"Salt Marsh Carbon Pool Distribution in a Mid-Atlantic Lagoon, {USA}: Sea Level Rise Implications",Tracy Elsey-Quirk and Denise M. Seliskar and Christopher K. Sommerfield and John L. Gallagher,NA,2011,10.1007/s13157-010-0139-2,https://doi.org/10.1007/s13157-010-0139-2,feb,Springer Science and Business Media {LLC},31,1,87--99,Wetlands,NA,NA,NA,NA,NA,NA
Kulawardhana_et_al_2015,Kulawardhana_et_al_2015_article,synthesis source,Article,"The role of elevation, relative sea-level history and vegetation transition in determining carbon distribution in Spartina alterniflora dominated salt marshes",Ranjani W. Kulawardhana and Rusty A. Feagin and Sorin C. Popescu and Thomas W. Boutton and Kevin M. Yeager and Thomas S. Bianchi,NA,2015,10.1016/j.ecss.2014.12.032,https://doi.org/10.1016/j.ecss.2014.12.032,mar,Elsevier {BV},154,NA,48--57,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Hill_and_Anisfeld_2015_article,synthesis source,Article,Coastal wetland response to sea level rise in Connecticut and New York,Troy D. Hill and Shimon C. Anisfeld,NA,2015,10.1016/j.ecss.2015.06.004,https://doi.org/10.1016/j.ecss.2015.06.004,sep,Elsevier {BV},163,NA,185--193,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2017,Breithaupt_et_al_2017_article,synthesis source,Article,Partitioning the relative contributions of organic matter and mineral sediment to accretion rates in carbonate platform mangrove soils,Joshua L. Breithaupt and Joseph M. Smoak and Victor H. Rivera-Monroy and Edward Castañeda-Moya and Ryan P. Moyer and Marc Simard and Christian J. Sanders,NA,2017,10.1016/j.margeo.2017.07.002,https://doi.org/10.1016/j.margeo.2017.07.002,aug,Elsevier {BV},390,NA,170--180,Marine Geology,NA,NA,NA,NA,NA,NA
Orson_1990,Orson_1990_article,synthesis source,Article,Rates of Sediment Accumulation in a Tidal Freshwater Marsh,Robert L. Sim {Richard A. Orson (2)},NA,1990,10.1306/d4267631-2b26-11d7-8648000102c1865d,https://doi.org/10.1306/d4267631-2b26-11d7-8648000102c1865d,NA,Society for Sedimentary Geology,NA,NA,NA,{SEPM} Journal of Sedimentary Research,NA,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,Windham_Meyers_et_al_2010_misc,synthesis source,Misc,"Biogeochemical processes in an urban, restored wetland of San Francisco Bay, California, 2007-2009$\mathsemicolon$ methods and data for plant, sediment and water parameters",Lisamarie Windham-Myers and Mark C. Marvin-DiPasquale and Jennifer L. Agee and Le H. Kieu and Evangelos Kakouros and Li H. Erikson and Kristen Ward,NA,2010,10.3133/ofr20101299,https://doi.org/10.3133/ofr20101299,NA,{US} Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2011,Piazza_et_al_2011_misc,synthesis source,Misc,Geomorphic and ecological effects of Hurricanes Katrina and Rita on coastal Louisiana marsh communities,Sarai C. Piazza and Gregory D. Steyer and Kari F. Cretini and Charles E. Sasser and Jenneke M. Visser and Guerry O. Holm and Leigh A. Sharp and D. Elaine Evers and John R. Meriwether,NA,2011,10.3133/ofr20111094,https://doi.org/10.3133/ofr20111094,NA,{US} Geological Survey,NA,NA,i--126,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,Nyman_et_al_1993_article,synthesis source,Article,Relationship between vegetation and soil formation in a rapidly submerging coastal marsh,JA Nyman and RD DeLaune and HH Roberts and WH Patrick,NA,1993,10.3354/meps096269,https://doi.org/10.3354/meps096269,NA,Inter-Research Science Center,96,NA,269--279,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA
Merrill_1999,Merrill_1999_phdthesis,synthesis source,PhdThesis,Tidal Freshwater Marshes as Nutrient Sinks: Particulate Nutrient Burial and Denitrification,J Z Merrill,"University of Maryland, College Park",1999,NA,https://elibrary.ru/item.asp?id=5305392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuttle_1996,Nuttle_1996_book,synthesis source,Book,Tidal Freshwater Marshes as Nutrient Sinks: Particulate Nutrient Burial and Denitrification,William Nuttle,NA,1996,NA,NA,NA,Environmental Data Initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2018,Gonneea_et_al_2018_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from salt marshes on the south shore of Cape Cod, Massachusetts, from 2013 through 2014","Meagan E. Gonneea and Kevin D. Kroeger and {, O&Amp}",NA,2018,10.5066/F7H41QPP,https://www.sciencebase.gov/catalog/item/5a748e35e4b00f54eb19f96c,NA,U.S. Geological Survey,NA,NA,NA,NA,"Environmental Health,Geochemistry,Soil Sciences,Water Quality,Water Resources",NA,NA,NA,NA,NA
Giblin_and_Forbrich_2018,Giblin_and_Forbrich_2018_data,primary dataset,Misc,"PIE LTER high marsh sediment chemistry and activity measurements, Nelson Island Creek marsh, Rowley, MA",Anne Giblin and Inke Forbrich and {Plum Island Ecosystems LTER},NA,2018,10.6073/PASTA/D1D5CBF87602CCF51DE30B87B8E46D01,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-pie.427.1,NA,Environmental Data Initiative,NA,NA,NA,NA,NA,NA,NA,NA,NA,en
Gerlach_et_al_2017,Gerlach_et_al_2017_article,associated source,Article,Reconstructing Common Era relative sea-level change on the Gulf Coast of Florida,Matthew J. Gerlach and Simon E. Engelhart and Andrew C. Kemp and Ryan P. Moyer and Joseph M. Smoak and Christopher E. Bernhardt and Niamh Cahill,NA,2017,10.1016/j.margeo.2017.07.001,https://doi.org/10.1016/j.margeo.2017.07.001,aug,Elsevier {BV},390,NA,254--269,Marine Geology,NA,NA,NA,NA,NA,NA
Hebert_et_al_2007,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Yarbro_and_Carlson_2008,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
Kairis_and_Rybczyk_2010,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,2012,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA
