study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,age,age_min,age_max,age_se,depth_interval_notes,date
Bhomia_et_al_2016_India,RKBEA16 S2,M0438,single set of methods,30,50,0.86,NA,0.0118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,RKBEA16 S2,M0438,single set of methods,50,100,0.81,NA,0.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,single set of methods,0,15,0.82,NA,0.0144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,single set of methods,100,189,0.88,NA,0.0139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,single set of methods,15,30,0.86,NA,0.0183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,single set of methods,30,50,0.9,NA,0.0143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhomia_et_al_2016_India,RKBEA16 S3,M0439,single set of methods,50,100,0.86,NA,0.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,0,1,NA,NA,0.04724999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,1,2.8000000000000003,NA,NA,0.05024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,10.9,12.9,NA,NA,0.01089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,12.9,15,1.232664719668778,NA,0.00674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,15,16.7,NA,NA,0.0063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,16.7,18.9,NA,NA,0.00387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,18.9,20.9,NA,NA,0.00358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,2.8000000000000003,4.9,NA,NA,0.04105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,20.9,24.9,NA,NA,0.00444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,24.9,28.999999999999996,NA,NA,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,28.999999999999996,32.9,NA,NA,0.00245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,32.9,36.8,NA,NA,0.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,36.8,40.9,NA,NA,0.0023799999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,4.9,6.9,NA,NA,0.0165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,40.9,45,NA,NA,0.00256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,45,49,NA,NA,0.00189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,49,51,NA,NA,0.00214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,51,71.1,NA,NA,0.00185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,6.9,8.9,NA,NA,0.01353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,71.1,81.10000000000001,NA,NA,0.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,8.9,10.9,NA,NA,0.01353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_et_al_2012,TSB12 MI Mangrove 1,M0201,single set of methods,81.10000000000001,91,NA,NA,0.0022400000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,single set of methods,0,15,0.94,0.056822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,single set of methods,100,150,0.7196,0.0473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,single set of methods,15,30,0.854,0.052471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,single set of methods,30,50,0.8242,0.056825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,single set of methods,50,100,0.7788,0.053499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,single set of methods,0,15,1.013,0.040698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,single set of methods,15,30,1.0208,0.041471999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,single set of methods,30,50,0.9965,0.04402300000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,single set of methods,50,100,0.984,0.045198999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,single set of methods,0,15,0.7111,0.049945,0.018118000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,single set of methods,100,150,NA,0.079723,0.020657000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,single set of methods,15,30,1.0588,0.043045,0.013221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,single set of methods,30,50,NA,0.041272,0.010522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,single set of methods,50,100,0.8254,0.046524,0.011429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,single set of methods,0,15,0.6951,0.058621,0.019057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,single set of methods,100,150,NA,0.038223,0.007399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,single set of methods,15,30,NA,0.042621,0.008477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,single set of methods,30,50,NA,0.028822,0.005457999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,single set of methods,50,100,NA,0.036972,0.003643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ13,M1037,single set of methods,0,15,0.7497,0.080694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ13,M1037,single set of methods,15,30,0.9889,0.040399000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ13,M1037,single set of methods,30,50,0.9486,0.029248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ13,M1037,single set of methods,50,100,0.9304,0.033445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,single set of methods,0,15,0.7573,0.05679700000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,single set of methods,15,30,0.7449,0.050495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,single set of methods,30,50,0.9382,0.030671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,single set of methods,50,100,0.9309,0.028848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,single set of methods,0,15,0.8689,0.048022999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,single set of methods,15,30,0.8871,0.049099000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,single set of methods,30,50,1.0505,0.036273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,single set of methods,50,100,0.985,0.044800000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ16,M1040,single set of methods,0,15,1.0791,0.049648000000000005,0.006018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ16,M1040,single set of methods,15,30,NA,0.055125,0.005386999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ16,M1040,single set of methods,30,50,NA,0.044372999999999996,0.003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ17,M1041,single set of methods,0,15,0.843,0.03985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ17,M1041,single set of methods,15,30,1.0423,0.037797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ17,M1041,single set of methods,30,50,0.9803,0.040223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ17,M1041,single set of methods,50,100,0.9953,0.045095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,single set of methods,0,15,0.7723,0.059944,0.017822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,single set of methods,100,150,NA,0.052546999999999996,0.011536999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,single set of methods,15,30,NA,0.048273,0.011021000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,single set of methods,30,50,NA,0.054474,0.012128000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,single set of methods,50,100,NA,0.052073999999999995,0.011131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,single set of methods,0,15,0.8831,0.052575000000000004,0.011843999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,single set of methods,100,150,NA,0.0483,0.010743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,single set of methods,15,30,0.8702,0.055396,0.012044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,single set of methods,30,50,NA,0.053824,0.009747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,single set of methods,50,100,NA,0.050397,0.013348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,single set of methods,0,15,0.9775,0.058949,0.019066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,single set of methods,100,150,NA,0.045345,0.010439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,single set of methods,15,30,0.9955,0.048998,0.012345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,single set of methods,30,50,0.8603,0.054772,0.010639000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,single set of methods,50,100,0.8961,0.053145,0.010539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,single set of methods,0,15,0.8856,0.051174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,single set of methods,100,150,0.6803,0.039124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,single set of methods,15,30,0.8936,0.054349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,single set of methods,30,50,0.7856,0.052846000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,single set of methods,50,100,0.8067,0.042546999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,single set of methods,0,15,NA,0.064547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,single set of methods,100,150,0.5388,0.067672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,single set of methods,15,30,0.7597009587369574,0.073025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,single set of methods,30,50,0.5729,0.074023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,single set of methods,50,100,NA,0.068693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,single set of methods,0,15,0.7469,0.056897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,single set of methods,100,150,NA,0.045975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,single set of methods,15,30,0.8575,0.060147000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,single set of methods,30,50,0.7824,0.06697499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,single set of methods,50,100,0.7975,0.047325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,single set of methods,0,15,0.8348,0.059418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,single set of methods,100,150,0.6937,0.052749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,single set of methods,15,30,0.8948,0.0587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,single set of methods,30,50,0.785,0.042319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,single set of methods,50,100,0.7553,0.04185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,single set of methods,0,15,0.7471107124726613,0.077025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,single set of methods,100,150,NA,0.065817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,single set of methods,15,30,0.7568946933306364,0.073898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,single set of methods,30,50,0.7697144396677467,0.069997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,single set of methods,50,100,NA,0.053971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,single set of methods,0,15,NA,0.09179999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,single set of methods,100,150,NA,0.09697499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,single set of methods,15,30,0.4058,0.12024699999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,single set of methods,30,50,0.3898,0.156313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
